ip,port_list,os_type,raw_data,device,label,proc_info,proc_os_type
1.9.213.115,{'http': [443]},Tomato 1.27 - 1.28 (Linux 2.4.20)," HTTP/1.1 200 OK\x0D
Date: Tue, 07 May 2019 14:28:26 GMT\x0D
Vary: Accept-Encoding\x0D
Last-Modified: Wed, 18 Mar 2015 03:27:59 GMT\x0D
ETag: ""9a8_4f_5508f0bf""\x0D
Accept-Ranges: bytes\x0D
Content-Length: 79\x0D
Connection: close\x0D
Content-Type: text/html; charset=utf-8\x0D
X-Frame-Options: SAMEORIGIN\x0D
X-UA-Compatible: IE=Edge\x0D
\x0D
<html>
<script language=javascript>

top.location=""/login"";

</script>
</html>
",WAP,21,http 1 1 200 ok x0d date tue 07 may 2019 14 28 26 gmt x0d vary accept encoding x0d last modified wed 18 mar 2015 03 27 59 gmt x0d etag 9a8 4f 5508f0bf x0d accept range byte x0d content length 79 x0d connection close x0d content type text html charset utf 8 x0d x frame option sameorigin x0d x ua compatible ie edge x0d x0d html script language javascript top location login script html,tomato 1 27 1 28 linux 2 4 20
217.28.144.197,"{'ms-wbt-server': [3389], 'tram': [4567], 'https': [443], 'ftp': [2121]}",DD-WRT v24-sp2 (Linux 2.4.36)," HTTP/1.0 401 Unauthorized\x0D
WWW-Authenticate: Digest realm=""realm"", qop=""auth"", nonce=""2e3f130dc3376d7b52000d2c4a2665e0:5cc093c1:4ed4133b"", opaque=""0""\x0D
Content-Type: text/html\x0D
Cache-Control: public,max-age=86400\x0D
Pragma: cache\x0D
Expires: Wed, 24 Apr 2019 16:50:09 GMT\x0D
Date: Wed, 24 Apr 2019 16:50:09 GMT\x0D
Last-Modified: Fri, 10 Jul 2015 21:47:11 GMT\x0D
Accept-Ranges: bytes\x0D
Connection: close\x0D
\x0D
<html>
<head>
  <title>401 Unauthorized</title>
</head>
<body bgcolor=""#ffffff"">
  <h2>401 Unauthorized</h2>
  <p></p>
</body>
</html>
 220-FileZilla Server 0.9.60 beta\x0D
220-written by Tim Kosse (tim.kosse@filezilla-project.org)\x0D
220 Please visit https://filezilla-project.org/\x0D
",WAP,21,http 1 0 401 unauthorized x0d www authenticate digest realm realm qop auth nonce 2e3f130dc3376d7b52000d2c4a2665e0 5cc093c1 4ed4133b opaque 0 x0d content type text html x0d cache control public max age 86400 x0d pragma cache x0d expires wed 24 apr 2019 16 50 09 gmt x0d date wed 24 apr 2019 16 50 09 gmt x0d last modified fri 10 jul 2015 21 47 11 gmt x0d accept range byte x0d connection close x0d x0d html head title 401 unauthorized title head body bgcolor ffffff h2 401 unauthorized h2 p p body html 220 filezilla server 0 9 60 beta x0d 220 written tim kosse tim kosse filezilla project org x0d 220 please visit http filezilla project org x0d,dd wrt v24 sp2 linux 2 4 36
36.230.69.220,{'http': [8888]},DD-WRT v24-sp2 (Linux 2.4.36)," HTTP/1.1 200 OK\x0D
Connection: close\x0D
Content-Type: text/html; charset=utf-8\x0D
\x0D
",WAP,21,http 1 1 200 ok x0d connection close x0d content type text html charset utf 8 x0d x0d,dd wrt v24 sp2 linux 2 4 36
93.181.135.17,"{'telnet': [23], 'http': [443]}",Huawei AP6050DN WAP," \x0D HTTP/1.1 400 Bad Request\x0D
",WAP,21,x0d http 1 1 400 bad request x0d,huawei ap6050dn wap
118.171.97.203,"{'ssh': [22], 'domain': [53]}",DD-WRT v24-sp2 (Linux 2.4.36)," SSH-2.0-dropbear_0.52\x0D
",WAP,21,ssh 2 0 dropbear 0 52 x0d,dd wrt v24 sp2 linux 2 4 36
1.9.153.44,{'http': [1050]},DD-WRT v24-sp2 (Linux 2.4.36)," HTTP/1.0 401 Unauthorized\x0D
Server: mini_httpd/1.19 19dec2003\x0D
Date: Tue, 07 May 2019 11:33:36 GMT\x0D
Cache-Control: no-cache,no-store\x0D
WWW-Authenticate: Digest realm=""dirname"", nonce=""d7af63147532f852e12496442d270f63"", uri=""/"", opaque=""0123456789987654"", algorithm=MD5, qop=auth\x0D
Content-Type: text/html; charset=%s\x0D
Connection: close\x0D
\x0D
<HTML>
<HEAD><TITLE>401 Unauthorized</TITLE></HEAD>
<BODY BGCOLOR=""#cc9999"" TEXT=""#000000"" LINK=""#2020ff"" VLINK=""#4040cc"">
<H4>401 Unauthorized</H4>
Authorization required.
<HR>
<ADDRESS><A HREF=""http://www.acme.com/software/mini_httpd/"">mini_httpd/1.19 19dec2003</A></ADDRESS>
</BODY>
</HTML>
",WAP,21,http 1 0 401 unauthorized x0d server mini httpd 1 19 19dec2003 x0d date tue 07 may 2019 11 33 36 gmt x0d cache control cache store x0d www authenticate digest realm dirname nonce d7af63147532f852e12496442d270f63 uri opaque 0123456789987654 algorithm md5 qop auth x0d content type text html charset x0d connection close x0d x0d html head title 401 unauthorized title head body bgcolor cc9999 text 000000 link 2020ff vlink 4040cc h4 401 unauthorized h4 authorization required hr address href http www acme com software mini httpd mini httpd 1 19 19dec2003 address body html,dd wrt v24 sp2 linux 2 4 36
1.9.81.210,"{'tcpwrapped': [6002, 4002, 9002], 'telnet': [2002, 23]}",Cisco Aironet 1250 WAP (IOS 12.4) or IOS XE," \xFF\xFB\x01\xFF\xFB\x03\xFF\xFD\x18\xFF\xFD\x1F \x0D
\x0D
User Access Verification (4.5b8-4)\x0D
Username: ",WAP,21,xff xfb x01 xff xfb x03 xff xfd x18 xff xfd x1f x0d x0d user access verification 4 5b8 4 x0d username,cisco aironet 1250 wap io 12 4 io xe
1.9.145.98,{'telnet': [23]},Cisco Aironet 1200-series WAP router (IOS 12.3 - 12.4), \xFF\xFB\x01\xFF\xFB\x03\xFF\xFD\x18\xFF\xFD\x1F,WAP,21,xff xfb x01 xff xfb x03 xff xfd x18 xff xfd x1f,cisco aironet 1200 series wap router io 12 3 12 4
220.79.209.206,"{'http': [85], 'ftp': [21], 'ibm-db2': [50000]}",Belkin N300 WAP (Linux 2.6.30)," HTTP/1.0 302 Moved Temporarily\x0D
Date: Fri, 26 Apr 2019 16:59:43 GMT\x0D
Server: Boa/0.94.13\x0D
Connection: close\x0D
Content-Type: text/html; charset=ISO-8859-1\x0D
Location: /video.html\x0D
\x0D
\x0D
<HTML><HEAD><TITLE>302 Moved Temporarily</TITLE></HEAD>
<BODY>
<H1>302 Moved</H1>The document has moved
<A HREF=""/video.html"">here</A>.
</BODY></HTML>
 220---------- Welcome to Pure-FTPd [privsep] ----------\x0D
220-You are user number 1 of 50 allowed.\x0D
220-Local time is now 16:59. Server port: 21.\x0D
220 You will be disconnected after 15 minutes of inactivity.\x0D
 1556297976,716592\x0D
",WAP,21,http 1 0 302 moved temporarily x0d date fri 26 apr 2019 16 59 43 gmt x0d server boa 0 94 13 x0d connection close x0d content type text html charset iso 8859 1 x0d location video html x0d x0d x0d html head title 302 moved temporarily title head body h1 302 moved h1 document ha moved href video html body html 220 welcome pure ftpd privsep x0d 220 user number 1 50 allowed x0d 220 local time 16 59 server port 21 x0d 220 disconnected 15 minute inactivity x0d 1556297976 716592 x0d,belkin n300 wap linux 2 6 30
222.210.45.66,{'ftp': [21]},Huawei AP6050DN WAP," 220 FTP service ready.\x0D
",WAP,21,220 ftp service ready x0d,huawei ap6050dn wap
218.7.57.236,"{'telnet': [23], 'ssh': [22]}",Huawei AP6050DN WAP," \xFF\xFB\x01\xFF\xFB\x03 SSH-1.99-DOPRA-1.5
",WAP,21,xff xfb x01 xff xfb x03 ssh 1 99 dopra 1 5,huawei ap6050dn wap
31.163.47.179,"{'tcpwrapped': [53], 'http': [5555]}",DD-WRT v24-sp2 (Linux 2.4.36)," HTTP/1.1 200 OK\x0D
Content-Type: text/xml\x0D
Date: Mon, 02 Jan 2012 00:16:36 GMT\x0D
Expires: Thu, 26 Oct 1995 00:00:00 GMT\x0D
Last-Modified: Mon, 02 Jan 2012 00:16:36 GMT\x0D
Pragma: no-cache\x0D
Server: RomPager/4.07 UPnP/1.0\x0D
\x0D
",WAP,21,http 1 1 200 ok x0d content type text xml x0d date mon 02 jan 2012 00 16 36 gmt x0d expires thu 26 oct 1995 00 00 00 gmt x0d last modified mon 02 jan 2012 00 16 36 gmt x0d pragma cache x0d server rompager 4 07 upnp 1 0 x0d x0d,dd wrt v24 sp2 linux 2 4 36
1.10.143.22,{'http': [80]},OpenWrt White Russian 0.9 (Linux 2.4.30)," HTTP/1.1 401 Unauthorized\x0D
",WAP,21,http 1 1 401 unauthorized x0d,openwrt white russian 0 9 linux 2 4 30
95.85.174.2,{'ftp': [21]},Huawei AP6050DN WAP," 220 FTP service ready.\x0D
",WAP,21,220 ftp service ready x0d,huawei ap6050dn wap
